SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,12,11,Florida,Broward County,5,5,105858,52770,53088,30187,29592,18470,19617,283,275,1860,1866,79,61,1891,1677,31702,30932,19832,20839,554,509,2571,2510,241,225,33887,34806,13498,13156,17180,18497,134,123,1780,1794,19,25,1276,1211,14469,14080,18083,19373,272,260,2321,2300,140,156,18883,18282,16689,16436,1290,1120,149,152,80,72,60,36,615,466,17233,16852,1749,1466,282,249,250,210,101,69
50,12,11,Florida,Broward County,5,6,116869,58341,58528,34352,32857,19561,20939,349,279,2292,2578,85,62,1702,1813,35697,34266,20779,22225,628,575,2904,3271,231,246,38423,38856,16525,15251,18381,19698,152,127,2197,2475,40,36,1128,1269,17354,16175,19177,20588,302,297,2682,3022,157,181,19918,19672,17827,17606,1180,1241,197,152,95,103,45,26,574,544,18343,18091,1602,1637,326,278,222,249,74,65
50,12,11,Florida,Broward County,5,7,132983,66539,66444,39916,37910,21791,23493,407,381,2641,2894,99,86,1685,1680,41178,39156,22946,24657,717,667,3297,3569,309,303,43224,43762,18931,17504,20352,22110,152,156,2542,2767,55,50,1192,1175,19765,18307,21134,22889,345,329,3074,3312,227,228,23315,22682,20985,20406,1439,1383,255,225,99,127,44,36,493,505,21413,20849,1812,1768,372,338,223,257,82,75
50,12,11,Florida,Broward County,5,8,135300,67515,67785,42541,39554,20084,23002,483,380,2882,3195,107,101,1418,1553,43578,40663,21037,24068,743,655,3447,3853,291,299,41313,43051,18802,17237,18592,21455,150,141,2790,3068,52,46,927,1104,19405,17949,19175,22170,293,309,3250,3621,203,222,26202,24734,23739,22317,1492,1547,333,239,92,127,55,55,491,449,24173,22714,1862,1898,450,346,197,232,88,77
50,12,11,Florida,Broward County,5,9,134935,66961,67974,42674,40068,19567,22458,346,276,2898,3527,93,129,1383,1516,43657,41120,20517,23517,617,553,3452,4158,292,338,40460,42053,18448,16684,18183,20848,133,107,2796,3363,50,60,850,991,18962,17284,18727,21496,272,266,3220,3868,210,233,26501,25921,24226,23384,1384,1610,213,169,102,164,43,69,533,525,24695,23836,1790,2021,345,287,232,290,82,105
50,12,11,Florida,Broward County,5,10,128052,62974,65078,41240,39275,17477,20731,304,256,2742,3236,123,118,1088,1462,42018,40305,18214,21749,519,563,3180,3838,270,300,37381,40010,17600,16437,16267,19401,109,129,2647,3095,81,62,677,886,18003,16953,16702,19987,224,292,2985,3548,202,208,25593,25068,23640,22838,1210,1330,195,127,95,141,42,56,411,576,24015,23352,1512,1762,295,271,195,290,68,92
50,12,11,Florida,Broward County,5,11,133165,65622,67543,44525,42546,16843,20233,335,274,2845,3125,101,94,973,1271,45176,43379,17467,21070,563,566,3256,3679,261,280,42153,43053,22692,19891,15809,19010,117,131,2758,3010,60,52,717,959,23113,20449,16246,19620,275,345,3109,3484,198,218,23469,24490,21833,22655,1034,1223,218,143,87,115,41,42,256,312,22063,22930,1221,1450,288,221,147,195,63,62
50,12,11,Florida,Broward County,5,12,136324,67497,68827,46880,44652,16773,19707,250,267,2569,2940,85,111,940,1150,47488,45404,17342,20445,499,555,2956,3418,248,299,45593,45694,26513,23166,15804,18585,121,154,2445,2832,46,63,664,894,26887,23691,16186,19135,298,375,2753,3245,189,229,21904,23133,20367,21486,969,1122,129,113,124,108,39,48,276,256,20601,21713,1156,1310,201,180,203,173,59,70
50,12,11,Florida,Broward County,5,13,132929,66151,66778,46983,44269,15646,18562,209,215,2374,2641,69,82,870,1009,47518,44922,16166,19195,453,503,2767,3071,220,232,47427,46212,29389,25013,14930,17740,101,111,2290,2566,51,48,666,734,29755,25435,15311,18178,289,321,2622,2922,180,175,18724,20566,17594,19256,716,822,108,104,84,75,18,34,204,275,17763,19487,855,1017,164,182,145,149,40,57
50,12,11,Florida,Broward County,5,14,112028,53442,58586,38032,38945,12543,16206,144,168,1961,2349,60,98,702,820,38470,39452,12952,16737,360,398,2268,2693,175,229,40440,42455,25784,23920,12047,15508,84,97,1925,2272,40,53,560,605,26101,24249,12355,15879,257,272,2188,2559,144,168,13002,16131,12248,15025,496,698,60,71,36,77,20,45,142,215,12369,15203,597,858,103,126,80,134,31,61
